Question,Answer,Category
When is it ok to obtain a credit report on a borrower?,"The borrower must give consent and there must be a purpose in order to pull credit. In mortgages, loan qualification is considered a permissible purpose.",Tuesday
When is the Credit Score Disclosure given?,"Gives the borrower the score they are using to offer credit. The Credit Score Disclosure is usually given with the Notice to The Home Loan Applicant, which is given to all borrowers 3 days after a completed loan application.",Tuesday
Who Enforces Fair Credit Reporting Act?,CFPB/FTC PART 8,Tuesday
What Act is an amendment of the Fair Credit Reporting Act (FCRA)?,FAIR AND ACCURATE CREDIT TRANSACTION ACT OF 2003/ REG V (FACT ACT) PART 8A,Tuesday
FACTA was primarily created to protect consumers from what?,Identity theft,Tuesday
"Under FACTA, When can the consumer get a free copy of their credit report? And where can they get it?",One free credit report a year from each of the 3 credit reporting agencies www.annualcreditreport.com.,Tuesday
What sections under FACTA help prevent identity theft?,"â— (SEC. 112) FREEZE, FRAUD ALERTS AND ACTIVE DUTY ALERTS â— (SEC. 113) TRUNCATION OF CREDIT CARD AND DEBIT CARD ACCOUNT NUMBERS. â— (SEC. 114) ESTABLISHMENT OF PROCEDURES FOR THE IDENTIFICATION OF POSSIBLE INSTANCES OF IDENTITY THEFT. (RED FLAG RULES) â— (SEC. 216) DISPOSAL OF CONSUMER REPORT INFORMATION AND RECORDS 8A-3, 8A-4, 8A-5,",Tuesday
"What section of FACTA deals with Freeze, Fraud and Active duty alert?",(SEC. 112),Tuesday
What section of FACTA prohibits businesses that accept debit cards or credit cards from printing no more than 5 digits of the card number or the expiration date on any receipt?,(SEC. 113) TRUNCATION OF CREDIT CARD AND DEBIT CARD ACCOUNT NUMBERS.,Tuesday
What section of FACTA establishes and maintains guidelines for use by each financial institution and creditor regarding identity theft and updates such guidelines as often as necessary?,(SEC. 114) ESTABLISHMENT OF PROCEDURES FOR THE IDENTIFICATION OF POSSIBLE INSTANCES OF IDENTITY THEFT. (RED FLAG RULES).,Tuesday
"What sec of FACTA requires any person that maintains or possesses consumer information, to properly dispose of any such information?",(SEC. 216) DISPOSAL OF CONSUMER REPORT INFORMATION AND RECORDS. (Burn or Shred),Tuesday
Who enforces GLBA?,FTC PART 9,Tuesday
"The Grammâ€“Leachâ€“Bliley Act (GLBA), also known as?",The Financial Services Modernization Act of 1999. (FSMA),Tuesday
What act requires financial institutions to safeguard sensitive information and be transparent about information-sharing practices?,The Grammâ€“Leachâ€“Bliley Act (GLBA),Tuesday
What is Nonpublic Personal Information (NPI)?,"Any information that a financial institution collects about an individual in connection with providing a financial product or service, unless that information is publicly available.",Tuesday
